Institute_name,Grid_id,Type,Established_year,Institute_link,Wikipedia_link,Alias_list,City,City_geoNames_Code,City_geoNames_id,Country,Country_geoNames_Code,Country_geoNames_id,NUTS1_name,NUTS1_code,NUTS2_name,NUTS2_code,NUTS3_name,NUTS3_code
National Natural Science Foundation of China,grid.419696.5,Government,1986 CE,http://www.nsfc.gov.cn/publish/portal1/,https://en.wikipedia.org/wiki/National_Natural_Science_Fo...,"NSFC,",Beijing,,,China,CN,,,,,,,
University of Toronto,grid.17063.33,Education,1827 CE,http://www.utoronto.ca/,https://en.wikipedia.org/wiki/University_of_Toronto,,Toronto,,,Canada,CA,,,,,,,
Samsung (South Korea),grid.419666.a,Company,1938 CE,http://www.samsung.com/sec/home/,https://en.wikipedia.org/wiki/Samsung,,Seoul,,,South Korea,KR,,,,,,,
Ministry of Science and Technology of the People's Republic of China,grid.424020.0,Government,1998 CE,http://www.most.gov.cn/eng/,https://en.wikipedia.org/wiki/Ministry_of_Science_and_Tec...,"State Science and Technology Commission,MOST,",Beijing,,,China,CN,,,,,,,
United States Department of the Navy,grid.420434.5,Government,1798 CE,http://www.navy.mil/,https://en.wikipedia.org/wiki/United_States_Department_of...,"DON,",Arlington,,,United States,US,,,,,,,
"University of California, Los Angeles",grid.19006.3e,Education,1919 CE,http://www.ucla.edu/,"http://en.wikipedia.org/wiki/University_of_California,_Lo...","State Normal School at Los Angeles,University of California Southern Branch,University of California at Los Angeles,UCLA,",Los Angeles,,,United States,US,,,,,,,
Cornell University,grid.5386.8,Education,1865 CE,http://www.cornell.edu/,http://en.wikipedia.org/wiki/Cornell_University,"CU,",Ithaca,,,United States,US,,,,,,,
Johns Hopkins University,grid.21107.35,Education,1876 CE,https://www.jhu.edu/,http://en.wikipedia.org/wiki/Johns_Hopkins_University,"JHU,",Baltimore,,,United States,US,,,,,,,
RWTH Aachen University,grid.1957.a,Education,1870 CE,http://www.rwth-aachen.de/cms/~a/root/lidx/1/,http://en.wikipedia.org/wiki/RWTH_Aachen_University,"RWTH Aachen,RWTH,",Aachen,,,Germany,DE,,NORDRHEIN-WESTFALEN,DEA,Köln,DEA2,Städteregion Aachen,DEA2D
University of Michigan–Ann Arbor,grid.214458.e,Education,1817 CE,https://www.umich.edu/,http://en.wikipedia.org/wiki/University_of_Michigan,"UMich,UM,",Ann Arbor,,,United States,US,,,,,,,
Canon (Japan),grid.471046.0,Company,1937 CE,http://canon.jp/,https://en.wikipedia.org/wiki/Canon_Inc.,"Seikikōgaku kenkyūsho,",Tokyo,,,Japan,JP,,,,,,,
National Institutes of Health,grid.94365.3d,Government,1887 CE,http://www.nih.gov/,http://en.wikipedia.org/wiki/National_Institutes_of_Health,"NIH,",Bethesda,,,United States,US,,,,,,,
United States Department of the Army,grid.427904.c,Government,1947 CE,https://www.army.mil/,https://en.wikipedia.org/wiki/United_States_Department_of...,"DA,",Arlington,,,United States,US,,,,,,,
"Rutgers, The State University of New Jersey",grid.430387.b,Education,1825 CE,http://www.rutgers.edu/,http://en.wikipedia.org/wiki/Rutgers_University,"Rutgers,Rutgers University,RU,",New Brunswick,,,United States,US,,,,,,,
University of British Columbia,grid.17091.3e,Education,1908 CE,https://www.ubc.ca/,https://en.wikipedia.org/wiki/University_of_British_Columbia,"UBC,",Vancouver,,,Canada,CA,,,,,,,
São Paulo State University,grid.410543.7,Education,1976 CE,http://www.unesp.br/portal#!/eng,http://en.wikipedia.org/wiki/S%C3%A3o_Paulo_State_University,"UNESP,",São Paulo,,,Brazil,BR,,,,,,,
Columbia University,grid.21729.3f,Education,1754 CE,http://www.columbia.edu/,http://en.wikipedia.org/wiki/Columbia_University,"King's College,Columbia College,Columbia University in the City of New York,CU,",New York City,,,United States,US,,,,,,,
University of Wisconsin–Madison,grid.14003.36,Education,1848 CE,http://www.wisc.edu/,http://en.wikipedia.org/wiki/University_of_Wisconsin%E2%8...,"UW–Madison,UW,",Madison,,,United States,US,,,,,,,
Stanford University,grid.168010.e,Education,1891 CE,http://www.stanford.edu/,http://en.wikipedia.org/wiki/Stanford_University,"Leland Stanford Junior University,SU,",Stanford,,,United States,US,,,,,,,
University of Cambridge,grid.5335.0,Education,1209 CE,http://www.cam.ac.uk/,http://en.wikipedia.org/wiki/University_of_Cambridge,"Cambridge University,",Cambridge,,,United Kingdom,GB,,EAST OF ENGLAND,UKH,East Anglia,UKH1,Cambridgeshire CC,UKH12
"University of California, Berkeley",grid.47840.3f,Education,1868 CE,http://www.berkeley.edu/,"http://en.wikipedia.org/wiki/University_of_California,_Be...","UC Berkeley,UCB,",Berkeley,,,United States,US,,,,,,,
University of Chicago,grid.170205.1,Education,1890 CE,http://www.uchicago.edu/,http://en.wikipedia.org/wiki/University_of_Chicago,"UChicago,UC,",Chicago,,,United States,US,,,,,,,
